Age,Salary,Department,JobSatisfaction,Overtime,YearsAtCompany,WorkLifeBalance,DistanceFromHome,Attrition
41,104459,1,4,0,15,3,9,0
35,71220,2,4,0,5,1,14,0
42,64545,0,3,0,12,3,5,1
50,84915,2,3,1,1,2,6,1
34,80745,1,3,1,12,3,2,0
34,73669,1,2,0,6,3,5,0
51,102409,0,4,0,6,2,1,1
43,108882,0,4,0,19,3,24,0
32,87210,1,2,1,3,3,12,1
41,121938,1,3,0,16,2,8,0
32,56457,0,4,0,3,4,6,0
32,80158,1,4,1,3,1,12,1
39,67079,0,3,0,10,2,5,0
19,38336,1,3,0,1,1,2,1
21,82932,1,2,0,1,1,1,1
31,81956,1,4,1,2,2,8,0
27,122836,1,1,1,2,1,21,1
39,100770,1,3,1,13,3,1,1
28,59395,1,2,0,2,1,1,1
24,131352,1,2,0,3,3,4,0
50,115525,1,3,1,3,1,13,1
34,99552,1,4,1,7,1,2,0
37,79337,0,1,0,12,2,2,0
24,61014,0,3,1,3,4,7,1
32,75694,1,1,0,4,3,6,1
37,112218,1,2,0,7,3,1,0
26,132114,1,3,0,1,2,1,0
40,123581,0,3,0,8,4,8,0
31,72778,1,2,1,9,1,5,1
34,57009,1,2,0,14,2,28,0
31,88522,1,1,0,5,3,9,0
53,40789,1,2,1,19,3,1,0
36,93079,1,4,1,16,4,5,0
27,81309,1,4,0,8,1,4,0
44,73349,2,2,0,12,4,1,0
26,45132,0,3,0,5,3,20,0
38,97840,2,4,0,4,3,13,0
19,71682,1,1,1,1,1,2,1
25,55752,1,4,1,6,2,2,0
38,25000,0,4,0,6,4,1,1
43,84312,1,1,0,5,3,2,1
38,129306,1,2,0,14,3,7,0
35,126531,0,4,1,5,4,4,1
34,73572,1,3,0,13,2,27,1
23,69944,2,1,0,2,3,1,1
30,96719,1,2,0,2,3,7,0
32,60040,1,3,0,13,2,15,0
46,92544,0,3,0,4,2,5,0
40,104152,1,3,0,8,3,1,0
21,115673,0,4,1,2,3,2,1
39,82496,1,2,1,11,3,3,0
33,79908,2,3,1,1,1,27,1
30,63050,1,3,0,2,4,19,0
42,64327,0,3,0,11,1,23,1
46,79338,1,2,0,16,3,13,0
45,94184,1,4,0,12,3,3,0
29,107839,1,4,1,7,2,18,1
34,64920,1,3,0,10,2,30,1
39,122317,1,3,0,1,3,3,0
45,78221,1,2,1,16,4,2,0
32,84465,1,3,1,6,2,6,1
35,66319,0,3,0,12,3,1,0
27,25000,0,3,0,8,3,1,0
26,107101,1,4,0,7,1,23,0
44,103421,1,3,0,2,3,20,0
49,77966,1,2,0,12,4,1,0
36,86674,1,4,0,14,2,4,0
46,97898,0,2,1,16,4,14,0
40,45936,1,2,0,11,1,8,0
31,71773,0,2,0,4,3,4,0
40,104856,0,3,0,9,3,10,0
50,53642,1,4,0,10,3,18,0
36,92338,0,3,1,17,3,20,0
51,51085,1,4,0,12,2,3,0
18,96660,0,3,0,1,3,1,0
44,84108,1,2,0,6,3,19,0
37,44621,1,4,1,11,2,1,1
34,114118,0,2,0,9,4,10,0
37,66635,1,2,1,6,2,1,1
19,64743,1,3,0,1,3,3,1
35,90014,2,2,0,11,2,4,0
40,113715,0,1,0,16,2,1,0
50,59604,1,3,1,20,2,20,0
32,86541,2,3,1,6,3,1,0
29,95720,2,3,0,5,3,17,0
32,102327,1,4,0,5,3,17,0
45,89411,1,3,0,4,1,3,1
39,75824,1,4,0,2,3,9,0
32,64310,1,1,0,12,3,2,0
41,87153,1,3,1,6,3,11,0
37,58196,1,4,1,9,2,6,1
45,25000,1,3,0,17,1,2,1
30,95913,1,3,0,7,3,4,0
34,107598,1,2,1,6,2,9,1
33,25926,0,1,1,3,1,18,1
23,59756,1,3,0,1,1,1,1
39,100478,1,2,0,20,3,6,0
39,136437,1,4,0,15,3,2,0
37,85519,1,2,0,18,3,12,0
34,66799,1,4,0,3,2,1,0
24,80427,2,4,0,2,3,9,0
33,119371,0,2,0,14,2,1,0
33,68850,1,2,0,2,4,7,0
29,65020,1,4,0,10,3,14,0
35,72931,1,4,0,11,3,11,0
40,61166,1,3,1,3,2,11,1
53,88066,1,2,1,7,1,5,0
38,125616,1,3,0,8,3,17,0
39,93076,0,3,0,19,3,7,0
36,78691,0,2,1,13,1,19,1
19,77704,0,3,0,1,4,6,0
36,45920,2,1,0,13,4,5,0
37,107077,2,1,0,12,3,2,0
59,83054,1,2,0,17,4,6,0
35,80488,1,2,0,14,2,1,0
39,164827,1,2,1,12,1,16,0
36,92468,1,3,0,13,1,9,0
26,66205,1,2,0,1,3,30,1
47,74341,2,2,1,12,1,1,1
43,113711,1,2,0,19,4,2,0
44,87831,1,4,0,14,2,16,0
28,49043,0,3,0,7,2,4,1
49,107980,2,3,0,13,4,5,0
24,68296,0,3,0,3,2,15,0
42,131832,1,4,0,19,2,5,0
56,112001,1,2,0,4,3,1,0
28,73816,1,3,0,3,2,17,0
31,117025,0,3,0,9,2,1,0
37,86696,2,3,0,16,2,18,0
32,106319,0,1,0,11,3,1,0
23,97118,1,3,0,4,4,8,0
37,63841,0,1,0,6,4,1,0
27,68911,1,3,1,8,2,9,1
41,110749,1,3,0,16,3,1,0
28,76630,1,2,0,5,3,14,0
50,74908,0,4,1,10,4,5,0
29,61121,0,1,0,7,2,1,1
34,95589,1,4,0,13,3,9,0
