Age,Salary,Department,JobSatisfaction,Overtime,YearsAtCompany,WorkLifeBalance,DistanceFromHome,Attrition
52,88066,1,2,0,9,3,1,1
45,104740,1,2,0,9,4,14,0
46,73888,1,2,0,16,1,6,1
28,109501,0,3,0,2,4,1,0
48,76581,0,3,1,3,1,1,1
39,73336,1,4,0,5,1,4,0
32,94180,0,3,1,7,4,1,0
28,89410,1,1,0,2,2,1,1
35,106359,0,2,0,16,2,3,0
18,88047,2,1,0,1,4,1,0
45,126578,1,1,1,8,3,21,0
36,91490,0,2,1,3,3,1,0
32,83764,1,4,1,10,3,2,1
27,88120,1,3,0,7,2,4,0
31,117081,0,4,0,7,2,1,0
46,64299,1,4,0,13,4,14,0
21,81881,1,1,0,1,3,1,1
38,60404,1,3,0,7,4,5,0
32,61702,0,3,0,11,3,27,0
37,89817,2,2,0,7,3,7,0
50,91820,1,3,1,5,3,6,0
42,132080,1,4,1,3,3,13,0
30,76580,1,3,1,7,3,1,0
31,78459,1,3,1,10,1,4,1
44,76964,2,3,0,8,1,11,1
38,59347,2,2,0,2,3,1,0
18,52169,0,1,0,1,3,30,1
40,97256,1,4,1,18,1,26,0
43,82626,0,3,0,5,2,13,0
37,66299,1,4,0,18,3,13,1
34,100836,0,2,1,3,4,2,0
39,98657,2,3,0,12,2,5,0
45,84156,1,3,0,6,3,3,0
60,68141,0,3,0,3,4,5,0
31,89321,0,2,1,11,3,1,1
35,115655,1,4,1,4,3,3,0
20,97412,1,2,1,1,4,2,1
49,80192,0,3,0,2,1,3,0
40,86508,0,3,0,5,3,2,0
30,62866,0,4,0,5,3,3,1
47,36576,0,2,1,2,1,6,0
22,126839,0,3,0,3,3,1,0
44,87031,1,2,0,13,2,2,0
31,78582,2,4,0,2,3,1,0
50,95100,0,2,1,11,2,2,0
43,115373,0,4,0,11,4,5,0
46,75422,1,3,0,19,3,4,0
35,89023,1,2,1,9,4,3,0
27,56753,1,2,0,1,2,2,0
47,70691,1,4,1,5,2,2,0
49,80959,2,3,0,9,4,12,0
29,63363,2,2,1,3,2,6,0
25,91442,0,2,0,1,3,9,1
42,102363,0,2,1,8,4,17,0
36,80917,1,1,0,14,3,9,1
39,79399,0,3,1,12,2,1,0
28,52672,1,2,1,4,1,6,1
46,59922,1,4,0,12,2,14,0
25,86471,1,2,0,6,1,10,0
50,118362,0,2,1,4,3,7,0
34,51839,2,3,0,14,2,3,0
36,92405,0,1,1,2,3,1,0
35,96305,0,4,0,4,2,16,0
18,81694,2,2,0,1,3,4,0
22,64353,1,4,0,3,2,11,0
25,34848,1,2,0,4,2,7,1
32,113868,0,3,0,6,4,2,0
36,59982,1,3,1,1,2,4,0
32,107728,1,1,1,12,2,5,0
33,91713,2,2,1,11,3,1,0
42,91974,1,4,1,1,3,12,0
46,78552,0,1,0,17,3,1,1
37,57288,1,2,1,4,3,2,0
27,72519,1,4,1,6,2,1,0
30,125258,0,3,0,8,3,1,1
46,94003,1,1,0,20,3,3,0
21,70893,1,3,0,1,3,7,0
24,109561,0,3,0,5,3,19,1
37,105636,1,3,0,1,3,4,0
40,72001,1,3,0,1,3,10,1
33,79854,1,3,0,2,2,10,0
34,77827,0,4,0,13,3,12,0
39,91839,0,2,0,9,2,2,0
28,81600,1,2,0,7,2,1,0
27,116723,1,1,0,7,2,8,1
47,82793,1,2,0,12,2,1,0
44,91640,1,4,1,9,2,1,0
42,107492,1,4,1,13,3,7,0
25,106381,1,2,0,1,3,14,1
34,65851,1,1,1,3,3,22,1
39,105009,0,2,0,20,3,1,0
30,98098,1,3,0,11,3,7,0
41,91392,1,3,1,19,2,4,1
54,81848,1,2,0,15,2,6,1
30,92786,1,3,0,10,4,10,0
34,114568,0,3,0,1,2,9,0
36,83458,1,3,0,9,3,2,0
32,73026,1,2,1,11,3,8,0
38,76284,0,2,0,1,3,9,1
33,99028,1,3,1,12,3,12,1
39,56944,0,4,0,5,4,17,0
36,64984,0,1,0,8,4,5,1
48,66525,1,2,0,16,3,1,0
45,125443,1,2,0,12,3,11,0
35,64080,0,1,0,14,2,5,1
37,92063,1,2,1,5,3,1,1
44,100654,0,1,0,13,1,1,0
45,65085,1,3,0,18,4,5,0
18,89942,1,3,1,1,4,2,0
34,54244,1,4,1,13,3,10,1
30,60667,0,1,0,7,4,11,0
38,85785,0,3,0,7,3,1,1
32,110682,1,3,1,5,4,14,0
28,98762,0,3,0,6,2,1,0
20,69562,1,3,0,1,2,11,0
41,106349,1,3,0,9,3,2,0
44,103330,2,2,0,13,3,16,0
34,70114,2,1,0,15,3,2,0
38,105347,2,3,0,3,3,10,0
31,67971,1,4,1,1,3,6,1
31,116042,1,1,1,12,4,17,0
44,83633,0,2,1,10,2,7,0
39,79468,0,3,0,6,3,1,0
29,103525,1,4,0,8,2,3,0
44,74843,1,2,0,6,4,3,0
49,113157,0,3,0,18,1,1,0
40,94608,1,4,1,9,4,11,0
42,71617,2,3,0,19,3,6,0
41,71458,1,4,1,7,3,1,0
43,139116,1,4,0,5,4,28,0
34,87131,1,4,0,4,4,4,0
47,46553,1,3,1,19,2,30,1
54,88482,1,3,0,13,3,11,0
34,79835,1,1,0,13,3,8,0
34,89841,1,3,0,9,3,9,0
22,121363,1,4,0,1,2,6,0
40,47050,1,2,1,5,2,3,1
35,127549,1,2,1,6,1,1,0
38,91474,1,3,0,4,3,27,1
48,100518,0,2,1,8,4,2,0
37,106579,2,4,0,1,1,3,0
18,63007,1,3,0,1,3,2,1
42,93352,1,4,0,2,3,3,0
35,90639,1,2,0,2,1,1,0
23,83743,1,3,0,1,4,7,1
39,44230,0,2,0,12,1,26,0
50,87463,0,4,1,7,1,8,1
47,113068,1,2,1,2,3,3,0
53,57222,1,2,0,19,3,1,0
58,84011,1,4,0,20,2,8,0
43,89452,2,2,1,16,2,2,1
35,58489,1,3,1,13,2,6,0
45,73697,0,2,0,6,2,21,1
44,91436,1,4,0,7,4,30,0
21,97662,1,4,0,1,3,27,0
47,79176,1,2,0,19,3,3,1
25,104007,0,3,0,1,3,6,0
48,47550,0,4,0,19,4,2,0
45,100522,2,4,1,15,3,1,0
38,83007,1,1,0,8,3,1,1
44,142855,1,4,0,1,3,1,0
25,90887,0,3,0,2,3,10,0
23,46235,1,4,1,3,2,6,1
44,66170,1,1,0,5,3,1,0
42,83268,1,1,0,18,3,4,0
39,57204,1,2,1,2,1,9,0
31,96421,1,4,0,8,1,2,0
32,98747,1,2,1,4,4,10,1
38,97500,2,1,1,11,3,10,0
44,108872,1,2,0,3,3,5,0
24,76650,1,4,1,4,2,2,1
35,91101,0,4,0,9,2,6,0
38,90121,0,3,0,18,3,15,0
22,58635,2,1,0,1,4,23,1
22,99912,0,4,1,3,3,4,0
37,91839,1,2,1,17,2,13,1
34,79489,1,1,1,2,3,6,0
45,69277,0,2,0,10,2,11,1
43,84174,1,3,0,4,3,8,0
42,70646,1,4,0,17,3,1,0
40,103448,1,2,0,12,4,1,0
58,89711,0,4,0,16,3,1,0
41,93640,1,2,1,15,2,6,1
27,73315,1,3,1,5,3,2,1
36,93145,2,4,0,12,2,17,0
51,79830,2,3,1,19,3,2,0
45,64241,0,3,0,8,1,18,0
41,113575,0,2,0,19,3,15,0
52,69875,1,4,0,9,2,10,1
40,88505,0,2,1,3,3,6,1
47,79532,1,4,0,13,2,4,0
33,118966,1,1,0,6,3,2,0
41,77787,2,3,0,3,4,11,0
43,89783,1,2,0,7,3,1,0
29,92120,0,2,0,5,1,6,0
22,52058,1,4,1,1,3,7,1
23,54297,0,3,0,4,4,21,0
28,60809,0,1,0,2,4,5,0
44,93364,0,2,0,3,3,1,1
34,86490,1,2,0,11,3,3,0
38,114311,1,3,0,11,2,1,0
31,113140,2,2,1,10,4,7,0
35,80989,0,2,0,3,2,19,0
40,99290,2,1,0,7,1,6,1
30,108773,1,2,1,5,3,22,0
34,96926,0,3,0,3,3,9,0
35,121825,1,4,0,12,1,12,0
31,80909,0,4,0,11,4,15,0
33,101302,1,3,1,5,2,3,1
39,54871,1,4,0,12,3,1,0
18,83982,1,3,0,1,3,2,0
49,87066,1,4,1,19,2,7,0
55,41129,1,2,1,7,3,15,1
35,97741,0,4,1,13,3,4,0
28,74677,0,3,1,7,3,6,0
34,91531,1,2,0,15,4,21,0
42,88992,1,2,0,14,3,5,0
42,83566,0,1,0,15,3,8,0
21,94770,1,4,1,2,4,4,0
37,75486,1,2,0,11,1,1,0
34,116920,0,2,0,15,3,19,0
48,83306,1,3,0,14,3,9,0
28,105578,1,4,0,1,3,7,0
40,105079,2,3,0,10,3,9,0
29,108387,2,2,1,4,3,11,0
30,75578,1,1,0,4,3,6,1
34,103590,0,3,0,15,1,2,0
43,66362,1,4,0,6,2,1,0
46,102102,2,4,0,16,4,8,0
24,94994,1,3,0,1,2,1,0
24,92912,1,2,0,4,3,14,0
28,90014,1,2,0,5,3,1,0
44,82097,1,2,0,12,1,2,0
29,99791,0,3,1,3,3,2,0
50,92934,1,1,0,11,3,13,0
18,75188,0,4,1,1,4,7,0
35,103712,1,1,0,15,3,16,1
36,105222,1,1,1,14,3,1,1
34,62334,1,3,0,8,4,1,0
37,95642,1,1,0,7,4,8,0
49,99817,1,2,0,9,2,26,0
30,135509,0,2,1,9,3,19,0
35,86304,0,1,0,4,2,8,0
33,104260,1,3,0,11,2,1,0
26,79827,1,2,0,6,3,6,0
48,84416,1,2,0,1,4,9,0
45,113284,1,4,0,11,2,1,0
34,104069,0,1,1,15,4,30,0
37,108065,1,1,1,15,3,4,0
49,32234,1,3,0,12,3,6,0
28,75129,1,4,0,8,1,1,0
38,59785,1,3,0,14,3,1,0
43,102443,0,3,0,8,3,27,0
26,80636,0,4,0,1,4,3,0
32,41200,1,3,0,1,3,3,1
32,69376,0,2,1,5,2,10,1
25,88704,1,3,0,6,1,6,0
35,112909,1,3,0,10,4,2,0
37,52863,0,3,1,8,4,1,0
29,41729,1,4,0,5,3,2,0
47,85968,0,2,0,2,1,4,0
41,73784,1,3,1,7,1,3,1
42,66290,1,4,0,20,4,1,0
41,72527,1,1,0,14,2,2,1
50,133235,0,3,0,13,4,30,0
