ClaimAmount,CustomerAge,PolicyYears,AccidentSeverity,NumberOfClaims,VehicleAge,PremiumAmount,Fraudulent
18665,47,10,1,2,8,1902,0
10308,58,7,0,2,8,1978,0
11457,37,10,0,2,7,2054,0
2353,62,1,0,1,6,1041,0
13902,39,8,0,5,9,2015,0
6405,36,2,1,1,10,1843,0
3268,51,10,1,4,7,1964,0
2386,48,2,1,1,8,1820,0
4429,59,8,0,3,7,2009,0
820,47,14,1,1,12,1663,0
10705,74,8,1,1,4,1778,0
4820,49,15,0,1,8,1321,0
3334,44,11,1,1,19,1569,0
2023,47,12,1,1,6,1492,0
3142,67,12,1,2,7,1725,0
11315,30,6,1,2,5,1614,1
1249,42,2,0,1,10,1465,0
5480,27,8,2,2,1,1516,0
3389,28,3,1,2,8,1718,0
5119,48,2,1,2,10,1662,0
15651,49,10,0,1,1,1237,0
7899,77,13,2,3,1,1846,0
2685,39,12,2,1,3,1257,0
2975,40,9,1,1,11,1551,0
9968,39,4,1,3,8,1762,1
5598,27,1,0,2,10,2182,0
663,22,3,0,1,14,2027,0
6826,53,4,0,1,10,1674,0
8804,43,8,0,1,7,1895,0
5030,31,7,2,1,9,1709,0
3893,56,6,2,5,1,2259,1
6319,54,13,1,1,3,1297,0
10913,44,12,0,1,9,1687,0
75000,33,13,2,1,6,1267,1
3093,48,11,0,1,13,1612,0
4174,66,3,1,5,2,1988,1
1103,53,1,0,1,6,1256,0
15595,41,13,0,1,11,1353,0
6786,46,15,0,1,7,1405,0
2828,29,4,0,1,4,1406,0
12554,18,1,0,1,10,1884,0
1398,74,15,1,2,9,1671,0
9335,46,14,2,1,6,1251,0
3110,40,5,2,1,14,1823,0
17029,52,9,0,1,2,1278,0
8612,66,11,1,1,3,1568,0
11070,38,11,0,2,6,1795,0
4471,47,15,0,2,1,1875,0
2098,25,1,1,1,7,1553,0
12598,34,10,1,2,1,1208,0
14444,42,6,0,1,6,1631,0
2603,29,2,1,1,5,1327,0
1765,49,3,0,3,7,1815,0
7672,57,11,1,2,2,1430,0
4728,42,6,0,2,8,1645,1
5928,41,4,2,2,2,1184,1
2237,22,2,1,1,14,1862,0
11782,27,8,1,4,4,1720,1
1806,46,12,0,1,4,1469,0
16079,68,6,0,1,8,1722,0
4097,21,2,1,1,9,1636,0
