ClaimAmount,CustomerAge,PolicyYears,AccidentSeverity,NumberOfClaims,VehicleAge,PremiumAmount,Fraudulent
7312,55,6,0,2,3,1490,0
4400,37,12,1,1,11,1862,0
8251,33,10,2,3,9,1797,1
16621,44,14,1,1,4,1542,0
4075,42,9,1,1,9,1517,0
4075,38,7,1,1,5,1316,0
17385,54,15,0,1,7,1906,0
9081,58,10,1,1,7,1783,0
3375,46,5,0,1,8,1444,0
7585,65,8,1,1,8,1554,0
3392,29,2,1,1,8,1885,1
3386,42,7,0,1,12,1512,0
5964,34,15,1,2,9,1583,0
1063,18,1,2,1,5,1594,1
1236,43,4,0,1,6,1984,0
3134,43,9,1,1,11,1690,0
2185,66,12,0,3,7,2069,0
6319,53,1,1,1,5,1296,0
2376,30,7,0,1,4,1542,0
1587,70,6,1,1,8,1518,0
15875,62,8,2,2,3,1963,0
4102,53,5,2,1,12,2029,0
5187,41,15,1,1,2,1865,0
1572,31,1,0,1,12,1570,1
3179,39,1,2,1,5,1507,0
5370,60,9,0,3,2,1785,0
1957,71,15,2,3,7,1728,0
6637,66,10,0,2,3,1616,0
3039,38,6,0,2,7,1891,0
3891,29,10,1,1,4,1359,0
3037,46,5,0,1,10,1509,0
21629,20,1,0,2,7,1556,1
4861,49,15,0,1,2,1141,0
2108,42,1,0,3,4,1940,0
9490,38,6,0,1,9,1478,0
1850,22,2,0,1,12,1547,0
5808,52,3,0,2,6,1785,0
1024,37,13,0,2,2,1557,0
1698,28,8,1,2,11,1724,0
5753,18,1,0,1,9,1782,1
8873,44,14,2,3,12,1896,0
5636,69,15,2,1,8,1154,0
4480,68,1,0,1,4,1736,0
3862,38,1,1,5,9,2054,1
1505,36,6,1,2,8,1596,0
2763,51,10,2,1,4,1327,0
3399,31,1,1,2,7,1721,1
11449,49,6,0,1,6,1475,0
6469,55,1,1,1,9,1817,0
1199,62,14,1,1,8,1919,0
6369,43,13,1,5,2,1874,0
3611,42,6,0,1,2,1222,0
2859,32,3,2,2,6,1575,1
8017,33,14,2,1,7,1647,0
11212,41,14,0,2,10,1776,0
10352,50,15,0,1,9,1519,0
2511,57,8,0,2,12,1600,0
3837,33,13,1,1,5,1058,0
6406,65,15,1,2,4,1419,0
10726,41,6,1,5,3,2292,0
3349,44,13,0,2,9,1857,0
4236,34,11,1,1,7,1521,0
2028,18,1,0,3,1,1825,0
1887,57,13,0,1,7,1302,0
9414,55,1,1,2,8,1751,0
14544,41,15,2,3,6,1472,0
4639,45,5,2,1,8,1659,0
10968,52,8,2,1,2,1461,1
6563,23,3,0,1,13,1796,1
2933,37,12,0,1,8,1823,0
6562,56,6,1,2,1,1685,0
16821,27,5,2,1,6,1288,1
4775,49,6,0,1,8,1826,0
17183,26,2,0,1,2,1368,0
604,51,1,0,1,9,1225,0
9485,44,7,1,1,13,1718,0
5269,22,1,0,3,4,1899,0
3869,61,2,0,1,8,1387,0
5289,34,10,0,3,7,2126,0
1002,33,5,0,1,10,1465,0
4122,47,10,2,1,6,1433,0
6539,61,4,0,2,2,1427,0
16031,30,6,1,1,10,1308,0
3246,45,6,1,1,2,1211,0
2573,51,11,2,1,14,1627,0
3289,54,2,0,1,9,1593,0
10222,47,2,2,1,4,869,1
6393,39,4,1,1,11,1823,1
3216,33,1,2,1,6,1671,1
7410,46,9,2,1,6,1766,0
5311,29,7,0,1,4,1171,0
10667,18,1,0,1,1,1321,0
2802,51,12,0,1,9,1808,0
3781,57,7,1,1,1,1585,0
3591,18,1,0,5,3,2335,1
1524,30,3,0,1,8,1610,0
6228,53,15,0,2,4,1608,0
6056,73,11,0,1,7,1248,0
4934,45,15,0,3,2,1922,0
4073,34,12,0,1,5,1407,0
1583,42,3,0,4,7,2016,0
3510,64,1,0,2,3,1583,0
3736,35,3,0,1,13,1261,0
2586,33,3,0,3,4,1607,0
4319,38,4,2,1,12,1800,0
6790,31,4,1,1,6,1520,0
22224,46,3,0,2,1,1622,0
5651,67,10,0,3,2,1866,0
6039,49,12,1,1,7,1395,0
4630,41,8,2,1,11,1576,1
1058,40,8,2,2,14,1891,1
4811,23,1,1,2,7,1864,0
5157,57,13,0,3,2,1663,0
35263,43,1,0,2,8,1383,0
4213,42,7,0,1,3,1400,0
6255,80,11,2,4,8,2186,0
4780,49,2,1,1,3,1711,0
1929,34,1,1,1,1,1436,0
12261,39,3,0,1,12,1412,0
8969,61,4,1,1,6,1448,0
9254,46,13,0,1,7,1655,0
2374,24,2,0,2,10,1973,1
15096,57,14,0,1,14,1871,0
1601,35,5,1,1,9,1569,0
7859,71,15,0,2,7,1881,0
28349,60,15,2,1,8,1461,1
2225,38,14,0,1,5,1536,0
3124,62,4,1,1,7,1709,0
5322,45,8,1,4,7,2125,0
3285,56,11,0,1,3,1559,0
1421,51,12,1,1,7,1674,0
5191,33,14,1,1,8,1380,0
2100,35,4,1,1,9,1623,0
7178,59,13,2,1,8,1408,0
2355,40,10,1,1,1,1322,0
16982,39,12,0,1,11,1446,0
2626,31,2,1,4,11,2198,1
3798,50,15,0,1,6,1136,0
9422,73,3,0,1,8,1713,1
1835,30,6,0,1,6,1533,0
5895,45,8,1,1,10,2030,0
13984,64,8,1,2,3,1549,0
1358,43,15,0,1,12,1669,0
5697,51,11,1,1,9,1756,0
6050,30,9,2,2,9,1740,0
9186,50,7,0,1,6,1584,0
1827,42,13,0,1,1,1578,0
1708,58,2,1,1,10,1596,0
7461,61,8,0,1,1,1619,0
6232,80,7,1,1,10,1314,0
6005,53,8,0,1,3,1760,0
6484,49,12,0,1,1,1022,0
2852,47,3,1,3,7,2130,0
5918,40,7,1,1,11,1306,0
6213,49,10,1,1,3,1836,0
2775,40,13,2,1,13,1772,0
21864,47,9,1,1,9,1431,0
7180,63,3,1,1,7,1933,0
1894,30,10,0,3,5,1582,0
8310,60,6,1,2,5,1604,1
2253,63,2,0,5,8,2710,0
9224,43,2,1,3,10,2029,1
12417,18,1,0,1,4,1064,1
2548,36,5,1,1,3,1385,0
10622,63,5,0,1,6,1457,0
6837,44,13,1,1,12,1747,0
9486,31,7,2,3,2,1701,0
22413,37,12,0,1,11,1789,0
4038,56,2,2,3,7,1554,1
2689,52,11,0,1,1,1270,0
2412,41,14,1,3,5,1862,0
2558,39,13,2,4,9,1917,0
4620,39,7,0,2,14,2139,0
6457,32,5,2,2,1,1381,0
6132,67,14,0,1,1,1408,0
9525,40,6,0,3,1,1659,0
4966,62,8,2,4,11,1927,0
15722,66,10,0,2,1,1542,0
3976,58,13,2,2,12,1597,0
43309,38,14,2,2,11,1741,0
8107,50,12,0,3,7,1866,0
2475,44,4,1,1,4,1184,0
2086,32,13,0,2,7,1834,0
7229,49,7,0,1,9,1672,0
4110,28,6,0,1,8,1696,0
8701,61,10,0,1,13,1740,0
7176,38,2,0,1,5,1269,0
4636,47,15,0,1,1,1379,0
2496,48,8,2,1,1,1504,0
1462,41,10,1,1,1,1141,0
3438,53,9,1,1,7,1337,0
9750,38,5,1,1,6,1480,1
5832,57,10,1,2,7,1635,0
1814,26,4,0,4,4,1916,0
5645,46,6,1,2,2,1501,0
6689,72,8,2,5,9,2251,1
2423,30,11,0,2,1,1774,0
5557,35,15,1,1,3,1547,0
5149,52,3,1,2,10,1811,0
1969,47,10,2,2,3,1368,0
6543,49,11,1,1,8,1445,0
7697,51,11,0,1,3,1608,0
11689,53,1,0,2,5,1556,0
11419,60,4,0,1,9,1426,0
1632,50,15,1,2,1,1949,0
2320,41,4,0,1,9,1924,0
7420,54,1,2,1,7,1535,1
7413,71,9,0,1,12,1493,0
7420,43,3,0,1,7,1704,0
75000,31,5,0,1,2,1311,1
7759,60,6,1,2,13,2067,0
12190,43,8,0,3,3,1642,0
10542,18,1,0,3,6,2159,0
8275,56,6,0,1,10,1546,0
3819,37,3,0,2,1,2002,0
9019,43,6,0,1,12,1749,0
2648,49,1,1,1,2,1686,0
4066,47,4,1,1,5,1391,0
3333,54,6,0,1,8,1327,0
5247,38,7,1,1,6,1068,0
31311,52,11,2,1,10,1905,0
1103,41,13,1,2,1,1543,0
8510,55,11,1,2,9,1520,0
1352,53,10,2,1,10,1913,0
3369,31,3,2,1,11,1911,1
11744,60,9,1,1,1,1656,0
5174,37,12,0,1,1,1112,0
2075,56,12,1,2,5,1899,0
2773,50,7,1,1,1,1456,0
8464,70,14,0,2,1,1815,0
2739,41,1,0,3,5,1908,1
5843,40,2,1,1,7,1594,0
5097,44,1,1,4,18,2591,0
2918,40,11,0,1,9,1790,0
27314,56,9,1,1,14,1986,0
8161,22,1,0,1,6,1432,1
972,30,7,0,1,9,1585,0
5705,30,10,1,1,6,1183,0
2894,58,3,0,1,17,1747,0
9720,68,13,0,2,4,1778,0
2607,43,15,2,3,4,1882,0
4483,42,5,0,2,10,1604,0
7361,45,15,0,1,7,1816,0
9824,61,4,2,2,5,2244,0
1881,32,7,1,2,10,1619,0
3760,48,14,1,2,6,1638,0
3361,58,9,2,3,6,1705,0
2914,52,12,0,3,7,1841,0
20178,47,2,1,1,1,1434,0
6795,59,13,1,2,1,1390,0
1792,18,1,1,1,11,1624,0
10242,54,8,1,5,4,2087,0
26842,35,15,1,1,6,1624,0
11225,19,1,0,1,13,2033,0
1457,52,9,0,1,6,1527,0
3336,64,10,1,2,6,1567,0
13541,43,14,1,1,10,1789,0
2790,58,10,1,1,4,1550,0
7009,67,9,0,4,11,2091,0
9133,63,14,1,3,10,2047,0
2341,67,10,1,1,14,1693,0
4686,55,14,1,1,4,1363,0
500,46,7,1,3,12,1630,1
2165,22,3,2,3,9,1854,0
4015,41,9,1,1,1,1027,0
1811,33,9,1,2,1,1402,0
18140,75,14,1,1,3,1555,0
1565,42,3,2,2,8,1438,1
3456,46,4,1,2,8,1702,0
5456,52,2,1,1,6,1543,0
15568,45,10,1,1,6,1482,0
1558,68,3,1,3,6,1733,0
12463,36,11,0,2,11,1895,1
4955,47,11,0,1,1,1472,0
2241,34,5,2,2,8,1740,0
7113,26,5,1,2,3,1504,0
5763,36,6,1,1,3,1612,0
3040,44,13,2,2,11,1567,0
5197,38,7,1,1,3,1577,0
3611,35,7,1,4,6,2063,0
5381,25,1,1,1,14,1809,0
8347,43,14,1,1,10,1648,0
17480,23,4,0,1,5,1122,0
1825,55,2,0,2,5,1927,1
27076,46,12,0,2,2,1727,0
1031,24,1,0,3,12,1817,0
4352,40,10,1,2,11,1981,0
7868,34,2,0,1,9,1657,0
6153,49,6,0,5,10,2133,0
2986,63,11,0,1,3,1678,0
4160,18,1,0,3,1,1593,0
3312,46,11,1,1,9,1891,0
3067,42,1,2,2,10,1906,1
9698,54,3,1,2,13,2081,1
6539,47,2,0,2,6,1795,0
2823,34,3,0,1,5,1606,0
10093,40,5,0,1,6,1573,0
6284,33,11,1,1,9,1474,1
9417,60,10,0,3,5,1812,0
8133,45,6,1,1,6,1713,0
2532,71,9,0,3,10,2093,0
3139,44,12,1,1,4,1570,0
8935,35,11,0,1,12,1290,0
8008,23,3,0,2,9,1727,1
4833,19,1,1,1,1,1316,1
5398,22,3,0,4,4,1699,0
13658,48,10,0,2,1,1710,0
3061,52,12,1,1,6,1124,0
7613,22,1,1,1,5,1667,0
4180,57,4,1,1,10,1915,0
4129,38,7,0,1,3,1398,0
11837,47,6,0,2,8,1725,0
9512,67,2,0,1,9,1813,0
9422,57,10,0,1,8,1437,0
13966,41,11,2,1,11,1812,0
4998,32,11,1,1,15,1616,0
8480,18,1,0,1,7,1316,0
3834,34,11,1,3,8,1949,0
6369,42,15,0,2,3,1584,0
4428,31,8,2,2,2,1215,1
5311,43,7,0,2,11,2113,0
7911,46,15,0,1,10,1567,0
2554,41,15,1,3,2,1812,0
26210,35,7,1,1,1,1701,1
2197,47,14,1,1,4,1519,0
1860,51,15,0,1,6,1784,0
12412,29,8,0,1,5,1327,0
9258,64,12,0,2,7,1994,0
8097,43,12,0,1,10,1484,0
8124,45,13,2,2,8,1625,0
4866,54,14,0,1,9,1329,0
2397,48,11,0,1,1,1433,0
5222,58,1,1,2,1,1656,0
2859,49,15,0,1,3,1593,0
10722,36,13,1,1,4,1183,0
4369,50,1,1,1,10,1724,1
2539,28,8,0,2,3,1672,0
3800,46,4,2,2,9,1892,1
6838,44,5,1,1,3,1285,1
3130,42,8,0,4,2,1358,0
2545,43,5,0,3,2,1851,0
5972,18,1,0,2,16,1950,0
5978,37,10,1,2,3,1646,0
3276,46,4,1,1,9,1601,0
3371,47,12,1,2,1,1576,0
5917,30,6,2,1,12,1857,0
1543,62,13,1,1,8,1218,0
1594,32,12,1,5,8,2418,1
2766,58,5,0,2,8,1703,0
4143,50,14,1,1,9,1945,0
6302,35,7,0,1,10,1558,0
15999,69,14,1,2,4,1483,1
9760,28,7,0,1,4,1440,0
4324,57,13,0,1,7,1659,0
4840,59,4,0,1,9,1565,0
2203,35,12,0,1,6,1644,0
4842,64,13,1,2,10,1722,0
3901,41,5,0,1,9,1626,0
6362,49,13,1,2,6,2127,0
2535,48,3,0,1,1,1451,0
7446,43,15,1,2,4,1707,0
16750,56,4,0,5,13,2045,0
4505,56,15,0,2,8,2010,0
6777,20,1,1,3,4,1983,1
8536,63,14,0,4,8,1897,0
3565,21,2,0,1,9,1829,0
5879,59,3,0,2,4,1685,0
4964,60,13,0,3,11,1989,0
5314,29,10,1,1,8,1848,0
2648,39,5,0,1,2,1307,0
5012,29,5,1,4,10,1955,1
7320,41,11,1,2,5,1691,0
15692,40,7,0,1,6,1635,1
10587,55,4,2,1,2,1603,1
27516,63,13,1,2,9,1739,0
2660,64,4,1,1,6,1360,1
9875,37,9,1,2,9,2275,0
5691,42,6,1,2,4,1402,0
28334,21,1,1,2,4,1631,1
2574,33,4,0,1,4,1625,0
2510,58,2,0,2,8,1970,0
3042,67,6,0,2,4,1506,0
898,27,8,0,2,6,1305,0
3227,36,2,0,1,4,1351,0
2677,44,5,0,1,8,1762,0
5543,48,6,0,4,1,1957,1
6460,33,4,1,1,7,1694,0
22047,50,14,2,1,13,1882,0
10512,38,13,2,1,11,1948,1
3097,44,3,0,3,4,1614,0
2395,52,7,1,1,8,1350,0
7284,45,2,2,1,8,1664,0
1709,38,13,0,1,12,1500,0
21272,43,11,0,2,1,1277,0
12626,43,14,2,1,11,1924,0
3376,39,6,1,1,5,1550,0
1248,41,13,0,1,4,1475,0
14517,67,4,0,3,3,1749,0
4484,52,6,0,1,1,1358,0
13230,40,4,1,1,4,1713,0
1372,54,4,1,1,2,1107,0
3042,40,15,0,4,7,1698,1
4935,61,4,0,2,9,1582,0
5103,50,9,1,5,5,2157,1
3428,43,7,1,3,12,2371,1
8089,51,3,0,1,4,1643,0
