ClaimAmount,CustomerAge,PolicyYears,AccidentSeverity,NumberOfClaims,VehicleAge,PremiumAmount,Fraudulent
12872,32,1,1,1,11,1564,1
5234,68,15,0,2,13,1714,0
30409,42,8,0,1,13,1823,1
2869,36,10,2,2,2,1602,0
25169,28,4,1,2,13,1880,0
24789,34,14,1,5,12,2608,1
10982,39,9,0,1,15,1650,0
13976,51,15,0,1,7,1514,0
4941,39,10,1,1,7,1363,0
10114,27,5,0,1,16,1305,0
2936,50,2,0,1,8,1565,0
5154,43,13,1,2,14,1959,0
8275,38,7,0,2,15,1967,0
1206,40,1,1,2,2,1671,0
10275,18,1,2,2,7,1356,1
7320,53,5,1,1,5,1606,0
8688,51,4,0,1,10,1929,0
5453,62,4,1,1,10,1861,0
23282,41,1,1,1,9,1385,1
5498,60,1,0,1,14,1984,0
3059,57,4,0,3,13,2024,1
41573,65,9,1,2,8,1960,0
2619,58,7,0,1,9,1920,0
9441,42,14,2,1,12,1844,0
12020,29,7,0,1,14,1782,0
34976,39,2,0,1,7,1937,0
34649,50,9,0,1,8,1513,0
3659,45,14,2,1,12,1346,0
15215,54,15,1,1,16,1972,0
5039,18,1,1,1,8,1526,1
10761,38,3,0,3,15,2140,0
6731,41,8,0,1,2,1553,0
5890,56,4,0,1,11,1379,1
5361,50,9,0,3,15,2326,0
34620,38,13,1,2,15,2216,0
5482,49,2,0,1,16,1517,0
11726,43,7,2,5,9,2582,1
11222,24,4,0,1,15,1762,0
5721,49,14,2,2,11,1896,1
15528,22,1,0,1,9,1647,0
6995,46,9,1,3,11,1907,0
17918,57,15,1,1,19,1783,0
9642,58,11,0,3,14,1905,0
21703,42,10,1,1,10,1666,1
20512,40,7,2,3,4,1587,1
9745,28,3,1,1,16,2083,0
17148,53,9,0,1,14,1667,0
25037,47,9,1,2,12,1679,0
24497,60,15,1,1,6,1654,0
7588,26,1,2,1,10,1451,1
5762,36,13,0,1,10,1420,0
8792,54,14,0,2,5,1574,0
4178,61,10,1,1,12,1766,0
14060,39,8,1,1,12,1895,0
7765,60,4,2,2,5,1689,1
13871,50,12,0,3,9,1668,0
10811,49,3,0,1,10,1853,0
5148,80,1,0,1,8,1512,0
10866,46,8,0,1,14,1963,0
46556,64,11,2,1,16,1655,1
10608,39,3,1,2,11,1955,0
8514,25,4,1,1,7,1903,0
18391,21,1,2,2,12,2390,1
18478,67,11,0,1,13,1948,0
1634,31,6,1,4,15,2333,0
7129,40,15,2,1,11,1876,0
6862,40,14,2,1,11,1747,0
1548,41,7,1,1,5,1695,0
15397,48,10,0,1,16,1876,0
7173,48,13,0,2,13,2011,0
2869,54,10,1,1,8,1850,0
14490,36,10,2,1,6,1468,1
8090,65,5,1,1,9,1525,0
7953,47,10,0,3,9,1801,0
3918,44,12,1,1,5,1617,0
5725,41,7,0,4,5,2232,0
26998,37,1,1,2,7,1864,1
6926,38,11,1,2,17,1751,1
10415,49,8,0,5,10,2291,0
2916,53,6,0,1,10,1689,0
22901,58,6,0,2,13,1939,0
19546,29,6,1,3,15,2464,0
36598,54,10,1,2,15,2268,0
8095,24,4,0,3,4,1780,0
17336,43,14,1,1,6,1490,0
4062,40,2,1,1,8,1421,0
24099,68,10,0,1,14,1861,0
27517,34,5,1,2,17,2039,1
21857,37,5,0,3,12,2369,0
24857,54,1,0,1,15,1572,0
12057,34,3,0,2,7,1817,0
6716,41,1,1,2,14,1792,0
2242,55,10,1,1,5,1181,0
9866,42,3,1,3,2,1347,0
3913,63,7,0,1,11,1198,0
46422,24,3,2,1,16,1959,1
16582,34,1,0,2,12,1790,0
3902,48,1,0,1,12,1566,0
3145,42,7,0,2,7,1890,0
6509,31,12,1,1,12,2008,0
8457,44,2,1,1,11,1639,0
8953,50,11,0,2,6,1465,0
17303,30,3,1,3,18,2184,1
20244,36,3,1,1,9,1329,1
8814,46,12,0,2,7,1538,0
12022,44,5,0,3,13,2361,0
5181,42,9,0,1,8,1504,0
10391,52,8,0,2,5,1745,0
7890,44,7,2,2,12,2179,0
16431,51,8,0,1,6,1344,0
2245,59,9,0,1,17,1779,0
6793,49,13,1,4,11,2343,0
13538,50,5,0,1,12,1509,0
6775,59,2,0,2,8,1767,0
19513,44,8,0,1,5,1494,0
11878,18,1,0,1,11,1561,0
7302,24,4,2,3,13,2059,1
18150,45,13,0,4,18,2153,0
22161,32,3,0,1,15,1541,0
45015,67,7,0,2,18,1844,0
22448,60,12,1,1,16,2026,0
19898,41,11,0,1,13,1815,0
12546,47,8,0,3,5,1934,0
16462,58,2,0,1,9,1653,0
8891,46,5,2,1,10,1584,0
1007,53,1,1,1,8,1433,0
8088,32,4,0,2,17,2329,1
5610,35,15,0,1,5,1478,0
25053,39,13,0,1,9,1717,0
8724,36,2,1,4,20,2579,1
29119,66,1,1,1,15,1567,1
1523,35,2,0,1,8,1548,0
9729,55,8,0,2,9,1914,0
46403,44,1,0,2,11,1951,0
5718,45,9,0,1,8,1384,0
21447,59,5,0,2,15,1894,0
4945,51,8,0,1,7,1968,0
16871,29,4,0,1,12,1610,0
34007,43,4,0,2,24,2144,0
1987,49,9,1,1,13,1692,0
3456,36,9,0,2,8,1816,0
5277,38,13,1,2,4,1850,0
24190,58,1,0,3,12,1810,0
11241,22,1,1,1,7,1861,0
14395,57,13,0,1,11,1622,0
12536,37,1,2,1,14,1808,1
13906,46,13,0,1,13,1511,0
17244,42,9,1,3,14,1999,1
4368,45,9,0,1,7,1914,0
3870,52,1,2,2,10,1974,1
8788,54,12,1,1,14,2238,0
8071,74,10,0,3,10,1891,0
3142,35,7,0,1,7,1669,0
8702,46,11,1,2,5,1525,0
7793,70,5,0,1,9,1625,0
16001,50,7,0,3,11,1746,0
24648,59,5,0,2,13,1992,0
2457,53,12,1,1,4,1202,0
4056,48,11,1,1,4,1076,0
14345,65,8,1,3,11,2347,0
3907,39,12,0,1,14,2111,0
11742,42,9,0,1,11,1574,0
3380,23,2,0,2,10,1526,0
17822,60,9,1,1,11,1488,0
19457,49,5,1,2,11,2107,1
15835,65,10,2,1,12,1688,0
12557,50,12,1,1,9,1523,0
20862,53,1,1,1,12,1834,1
35308,69,7,2,1,11,1477,1
10190,34,12,0,1,9,1770,0
21733,45,12,2,2,15,1821,1
16931,42,12,1,3,12,1964,0
10219,47,2,0,2,7,1938,0
11432,40,4,0,5,15,2630,0
6350,49,7,1,1,15,1464,1
23378,34,3,2,2,14,1686,1
23598,30,7,2,4,5,1869,1
4615,36,9,1,2,8,2018,0
5223,20,1,0,1,3,1375,0
30409,18,1,0,3,13,1865,1
38013,48,2,1,1,14,1550,1
6790,42,3,0,2,12,1732,0
