Gender,Married,Dependents,Education,ApplicantIncome,CoapplicantIncome,LoanAmount,CreditHistory,PropertyArea,Loan_Status
0,1,1,1,2635,0.0,93,1,0,0
1,1,2,1,5634,1000.0,187,1,1,1
1,0,0,1,5143,2635.0,206,1,1,1
1,0,1,0,7179,0.0,168,1,0,1
0,1,1,1,2994,1524.0,156,1,1,1
0,1,2,1,4523,0.0,139,1,0,1
0,1,3,1,2247,0.0,70,1,2,1
1,1,0,0,6315,0.0,232,1,2,0
1,1,1,1,5764,1000.0,197,1,1,1
1,1,0,1,5698,0.0,160,1,1,0
0,1,0,0,4450,0.0,174,0,2,0
1,1,0,1,5471,0.0,205,1,2,0
1,1,0,0,9918,2110.0,286,0,2,0
0,0,0,1,3856,3206.0,199,1,0,1
0,0,1,1,4766,0.0,120,1,0,0
0,0,0,1,2583,0.0,97,0,1,0
0,1,2,1,2880,3183.0,166,1,1,1
1,1,0,1,4669,0.0,148,1,0,1
1,0,0,0,7723,4197.0,296,1,0,1
0,1,2,0,3912,1715.0,176,1,2,0
1,0,0,1,3952,1518.0,165,1,2,1
0,1,0,1,3628,0.0,92,1,1,1
0,1,1,1,3403,1055.0,115,1,2,1
0,0,0,1,5153,3688.0,213,0,1,0
1,1,0,1,2103,1060.0,106,0,2,0
1,0,0,1,8437,0.0,245,1,1,1
0,0,3,1,3188,0.0,84,1,0,1
1,0,1,1,6380,0.0,168,1,1,1
1,1,1,1,2356,1380.0,148,1,1,1
0,1,1,0,6213,1000.0,186,1,1,1
1,0,0,1,6222,0.0,185,1,0,1
0,1,0,0,5388,1960.0,193,1,2,1
0,1,2,1,2704,0.0,110,1,0,1
1,0,0,1,5038,1001.0,165,1,0,1
1,1,0,1,2461,7092.0,257,1,1,1
1,0,0,1,3919,0.0,89,1,1,1
0,0,0,1,7440,0.0,189,1,1,1
0,1,3,1,6623,0.0,189,1,2,0
1,0,0,0,4480,1551.0,183,0,1,0
1,1,0,0,2731,2900.0,199,1,1,1
0,1,0,0,6141,3529.0,233,0,2,1
1,0,3,1,4490,0.0,176,1,0,0
0,1,0,0,1500,1000.0,83,1,1,1
1,0,0,1,6576,0.0,214,1,2,0
0,1,2,1,4393,1887.0,196,1,0,0
1,1,1,1,8113,0.0,189,1,1,1
0,1,0,0,2571,1000.0,129,1,2,1
1,1,0,1,1500,2246.0,123,1,1,1
