Gender,Married,Dependents,Education,ApplicantIncome,CoapplicantIncome,LoanAmount,CreditHistory,PropertyArea,Loan_Status
0,1,0,1,8683,0.0,183,0,0,0
1,0,3,0,6664,0.0,202,1,1,1
1,1,0,1,6676,3444.0,220,1,2,1
1,1,0,1,2754,0.0,113,1,0,1
1,1,1,1,2672,0.0,91,1,1,0
1,0,2,1,13561,1220.0,351,1,1,1
1,0,0,1,8194,1000.0,201,1,1,0
1,0,0,0,7220,3163.0,253,1,0,1
1,1,2,0,5183,1369.0,186,0,1,0
1,0,0,1,2387,0.0,97,1,1,1
0,1,0,1,7264,0.0,230,1,0,1
0,1,0,1,14096,1413.0,371,1,0,1
1,0,0,1,3663,1000.0,159,1,0,1
1,0,3,1,5047,4885.0,303,0,2,0
0,1,0,0,7308,1000.0,212,0,2,0
0,1,0,1,10937,1936.0,307,1,0,1
0,1,0,1,3373,3391.0,152,1,0,1
0,0,0,1,5686,0.0,159,1,2,1
1,1,0,0,2980,1000.0,133,1,1,0
1,0,2,1,8648,0.0,220,1,2,0
1,1,0,0,7095,3739.0,249,1,0,1
0,1,0,1,7721,5373.0,315,1,2,1
1,1,2,0,6605,3556.0,247,0,0,0
1,1,0,1,4255,0.0,126,1,1,1
0,1,0,1,5809,1444.0,180,1,2,1
1,1,0,1,5065,0.0,139,0,0,1
1,0,0,0,7894,1448.0,228,0,0,0
1,0,0,0,6543,1000.0,163,1,1,0
1,1,0,1,5040,2461.0,219,0,0,0
1,0,3,1,3434,0.0,163,1,1,1
0,1,3,1,4291,1218.0,187,1,2,1
0,0,0,1,2213,4074.0,197,1,1,1
1,1,0,1,4145,0.0,112,1,0,1
0,1,1,1,4404,0.0,116,1,1,0
0,1,0,1,5891,0.0,149,1,1,1
0,1,2,0,8753,1926.0,271,1,1,1
0,0,3,1,3143,1473.0,145,1,1,0
1,1,1,0,5522,0.0,175,1,1,1
1,0,1,1,8808,4066.0,262,1,0,1
1,0,0,1,5455,0.0,158,1,0,1
0,1,0,1,6024,0.0,145,1,1,0
1,0,2,1,3592,0.0,73,1,2,1
1,0,0,1,6164,0.0,210,1,2,1
0,0,0,0,11288,2701.0,306,1,1,0
1,1,0,1,5569,1527.0,202,1,1,1
0,0,0,1,4842,1000.0,219,1,0,1
0,0,0,1,8484,1000.0,297,1,2,0
1,1,0,1,3615,0.0,88,1,0,1
1,1,0,1,11029,0.0,283,1,2,1
1,1,3,1,5200,0.0,145,1,2,1
0,1,0,1,4570,1154.0,177,1,1,1
1,0,0,1,3902,1333.0,121,1,2,0
1,0,2,0,3565,4140.0,236,1,1,0
1,1,0,1,12572,1969.0,372,1,2,1
1,1,1,0,5862,3066.0,184,1,0,1
1,1,1,1,6492,1000.0,192,1,0,1
1,1,0,1,8575,1759.0,269,1,0,1
0,1,2,1,6490,0.0,160,0,0,0
1,0,0,0,2971,1195.0,103,1,2,1
1,1,0,1,8326,1395.0,255,1,0,1
0,0,1,1,4962,0.0,149,1,2,0
1,1,0,1,5186,0.0,135,0,0,0
0,0,3,1,4918,1002.0,200,1,2,0
1,0,3,1,7240,4031.0,265,1,0,1
0,1,2,1,8463,0.0,228,1,0,0
1,0,2,1,2923,0.0,147,0,0,0
1,1,0,0,6208,0.0,128,1,0,1
1,1,0,1,4172,1776.0,194,1,2,1
1,1,0,0,9827,0.0,220,0,1,1
0,1,1,1,12532,0.0,281,1,2,1
0,1,0,0,2518,1000.0,134,0,2,0
0,1,0,1,7126,1452.0,244,1,0,1
0,1,0,1,8326,1848.0,248,1,2,0
1,1,1,1,2961,2164.0,115,1,0,1
0,1,3,1,5598,1407.0,235,1,0,0
0,1,1,1,8313,0.0,208,1,2,1
1,0,2,1,3820,2147.0,189,1,1,1
1,0,0,0,4198,3256.0,206,1,2,1
0,1,1,0,3904,2274.0,152,1,2,1
0,1,3,1,4598,5004.0,258,1,0,1
0,1,0,0,6766,0.0,133,1,0,1
0,1,0,1,5675,0.0,138,1,1,1
1,0,1,1,6583,0.0,186,1,2,1
1,1,0,0,6132,0.0,151,0,1,1
0,1,0,1,9116,0.0,232,0,1,0
1,1,2,0,2317,0.0,123,1,2,1
0,1,1,0,9913,1150.0,276,1,0,1
1,1,0,0,3209,1000.0,150,1,1,0
0,0,0,1,16393,2262.0,449,0,1,0
1,0,0,1,6221,0.0,176,1,0,1
1,1,3,1,6297,2619.0,194,1,1,1
1,1,3,1,13882,2908.0,343,1,1,1
0,0,3,1,4348,3101.0,193,1,0,1
1,1,0,0,11004,3048.0,354,1,1,1
0,1,3,1,3736,0.0,94,1,0,1
1,1,2,1,5405,0.0,160,1,2,1
1,1,0,1,8599,0.0,224,0,1,0
1,1,1,1,10182,1019.0,317,1,1,1
1,1,0,0,4259,3391.0,177,1,2,1
1,1,2,1,19581,1055.0,431,1,2,1
1,0,2,1,4139,0.0,147,1,2,1
1,0,0,1,6203,0.0,200,1,2,1
1,0,0,1,6731,1743.0,209,1,0,1
1,1,0,1,3964,1686.0,123,1,0,1
1,1,0,1,4717,0.0,135,1,2,1
1,1,0,0,5919,1000.0,201,0,2,0
0,0,2,1,4795,0.0,120,1,2,0
0,1,0,1,12025,2230.0,334,1,1,1
0,0,0,0,5774,0.0,164,1,1,1
1,1,0,1,3888,0.0,110,1,0,0
0,1,0,1,6200,0.0,202,1,2,1
0,1,3,1,3761,1000.0,119,1,1,1
0,1,0,1,6822,0.0,179,1,0,0
1,1,1,1,3130,3211.0,168,1,2,0
0,1,0,1,4947,0.0,143,1,1,1
1,0,0,0,5639,1095.0,187,1,0,0
1,1,1,0,5248,0.0,186,1,2,0
1,0,0,1,5686,0.0,144,1,2,1
1,1,1,1,7384,0.0,223,1,2,1
0,0,0,1,8322,1246.0,269,0,1,0
1,1,0,0,5429,1000.0,236,1,2,1
0,1,0,1,12627,1023.0,348,1,1,1
0,1,2,0,3567,0.0,114,1,0,1
0,0,2,0,11978,0.0,326,1,2,1
0,1,0,0,6650,0.0,188,1,1,1
0,0,2,1,4533,0.0,102,1,0,1
1,1,0,1,10206,3007.0,354,1,1,1
0,0,0,1,6988,1682.0,213,1,1,1
1,0,0,1,7289,1000.0,227,1,1,1
1,1,2,0,5630,0.0,157,0,0,0
1,1,0,0,12450,2131.0,327,1,1,1
0,1,1,1,8299,0.0,214,1,2,1
1,1,2,1,8502,0.0,234,1,2,1
0,1,0,1,5060,3509.0,201,1,2,1
1,1,2,1,3557,1000.0,133,1,1,1
0,0,0,1,11140,4295.0,357,1,0,0
0,1,3,1,3430,0.0,145,1,0,0
1,0,0,1,12310,0.0,286,1,0,0
0,0,2,1,4947,0.0,159,1,2,1
0,1,0,0,9959,0.0,255,1,0,0
1,0,0,0,5444,0.0,152,1,2,1
1,1,2,0,5203,0.0,133,1,2,1
0,1,1,0,5161,5986.0,255,1,1,1
1,1,0,0,5319,0.0,136,1,2,1
1,1,0,1,3393,0.0,137,1,1,1
0,1,3,1,6311,1607.0,155,1,1,1
0,0,0,1,9865,0.0,299,1,0,1
1,0,0,1,8780,0.0,252,1,0,1
1,1,2,1,6246,1543.0,199,1,1,0
1,1,2,1,7948,0.0,172,1,1,1
0,0,0,1,9201,1725.0,258,0,0,0
0,0,0,1,7566,0.0,167,1,1,0
1,0,2,1,5590,0.0,182,1,0,1
